Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
IP26 - Kiểm chứng đăng ký - Khi đăng kí thành công thì sẽ chuyển đến trang thông tin tài khoản,N5-61,10279,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Vanhao Ho,62a0b2334e1a640070c40692,Vanhao Ho,62a0b2334e1a640070c40692,06/Jan/23 4:59 PM,06/Jan/23 5:00 PM,06/Jan/23 5:00 PM,06/Jan/23 5:00 PM,,0,Khi đăng kí thành công thì sẽ chuyển đến trang thông tin tài khoản,,Vanhao Ho,62a0b2334e1a640070c40692,,,,,,,,,,,,,,Chuyển đến trang thông tin tài khoản,,,,,,,,,N5-2,Chuyển đến trang thông tin tài khoản,,,,,0|i001p3:,,N5 Sprint 2,,,,,,,,Integration,"Bước 1: Nhập thông tin vào các trường trong form đăng ký
Bước 2: Nhấn đăng ký",Pass,,,,Done
GH26 - Verify cart - delete product to cart with the same number of quantity done in product detail page,N5-60,10278,Story,To Do,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:57 PM,06/Jan/23 4:58 PM,06/Jan/23 5:00 PM,,,0,add product to cart with the same number of quantity done in product detail page ,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,N5-55,06/Jan/23 4:57 PM;62a929b7fd38e70069b32f89;GH17.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10296/GH17.jpg,06/Jan/23 4:57 PM;62a929b7fd38e70069b32f89;gh_step2.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10297/gh_step2.jpg,show that product with the same quantity,,,,,,,,,N5-4,show that product with the same quantity,,,,,0|i001ov:,,N5 Sprint 2,,,,,,,,System,"Step 1: go to a product detail page
Step 2: set quantity to 3
Step 3: click ""add to cart""",Pass,,,,To Do
GH25- filter age - filter button by age,N5-59,10277,Story,To Do,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:55 PM,06/Jan/23 4:55 PM,06/Jan/23 5:00 PM,,,0,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,N5-58,06/Jan/23 4:55 PM;62a929b7fd38e70069b32f89;1l.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10294/1l.jpg,,appear goods by filter,,,,,,,,,N5-6,appear goods by filter,,,,,0|i001on:,,,,,,,,,,Unit,"
step 1: press filter button by language",Pass,,,,To Do
GH24- filter language - filter button by language,N5-58,10276,Story,To Do,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:52 PM,06/Jan/23 4:56 PM,06/Jan/23 5:00 PM,,,0,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,N5-59,,N5-54,06/Jan/23 4:56 PM;62a929b7fd38e70069b32f89;1z.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10295/1z.jpg,,appear goods by filter,,,,,,,,,N5-6,appear goods by filter,,,,,0|i001of:,,,,,,,,,,Unit,"
step 1: press filter button by language",Pass,,,,To Do
IP25 - Kiểm chứng đăng kí - Khi đăng kí thành công thì hệ thống sẽ gửi thông báo vào tài khoản,N5-57,10275,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Vanhao Ho,62a0b2334e1a640070c40692,Vanhao Ho,62a0b2334e1a640070c40692,06/Jan/23 4:52 PM,06/Jan/23 4:52 PM,06/Jan/23 5:00 PM,06/Jan/23 4:52 PM,,0, Khi đăng kí thành công thì hệ thống sẽ gửi thông báo vào tài khoản,,Vanhao Ho,62a0b2334e1a640070c40692,,,,,,,,,,,,,,Thông báo được gửi vào tài khoản,,,,,,,,,N5-2,Thông báo được gửi vào tài khoản,,,,,0|i001o7:,,N5 Sprint 2,,,,,,,,Integration,"Bước 1: Nhập các trường thông tin trong form đăng ký
Bước 2: Nhấn đăng ký",Pass,,,,Done
GH18 - Verify cart - update price when change quantity of product,N5-56,10274,Story,To Do,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:49 PM,06/Jan/23 4:51 PM,06/Jan/23 5:00 PM,,,0,add product to cart with the same number of quantity done in product detail page ,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,,,N5-55,06/Jan/23 4:49 PM;62a929b7fd38e70069b32f89;gh_step2.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10291/gh_step2.jpg,,update price,,,,,,,,,N5-4,update price,,,,,0|i001nz:,,N5 Sprint 2,,,,,,,,System,"step 1: go to cart
Step 3: set produc quantity down to 2",Pass,,,,To Do
GH17 - Verify cart - add product to cart with the same number of quantity done in product detail page ,N5-55,10273,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:47 PM,06/Jan/23 4:57 PM,06/Jan/23 5:00 PM,06/Jan/23 4:47 PM,,0,add product to cart with the same number of quantity done in product detail page ,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,N5-56,N5-60,,06/Jan/23 4:46 PM;62a929b7fd38e70069b32f89;GH17.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10287/GH17.jpg,06/Jan/23 4:47 PM;62a929b7fd38e70069b32f89;gh_step2.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10288/gh_step2.jpg,show that product with the same quantity,,,,,,,,,N5-4,show that product with the same quantity,,,,,0|i001nr:,,N5 Sprint 2,,,,,,,,System,"Step 1: go to a product detail page
Step 2: set quantity to 3
Step 3: click ""add to cart""",Pass,,,,Done
GH22- filter price - filter button by price,N5-54,10272,Story,To Do,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,VO TUAN KHUONG,62a929b7fd38e70069b32f89,06/Jan/23 4:47 PM,06/Jan/23 4:52 PM,06/Jan/23 5:00 PM,,,0,,,VO TUAN KHUONG,62a929b7fd38e70069b32f89,,,,,,,,,N5-58,,,06/Jan/23 4:48 PM;62a929b7fd38e70069b32f89;1k.jpg;https://tranhoanghuy.atlassian.net/secure/attachment/10289/1k.jpg,,appear goods by filter,,,,,,,,,N5-6,appear goods by filter,,,,,0|i001nj:,,,,,,,,,,Unit,"
step 1: press filter button by price
",Pass,,,,To Do
IP24 - Kiểm chứng giỏ hàng - Nếu chưa đăng nhập thì không thể sử dụng mã giảm giá,N5-53,10271,Story,To Do,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,,,,Vanhao Ho,62a0b2334e1a640070c40692,Vanhao Ho,62a0b2334e1a640070c40692,06/Jan/23 4:43 PM,06/Jan/23 4:46 PM,06/Jan/23 5:00 PM,,,0,Nếu chưa đăng nhập thì không thể sử dụng mã giảm giá,,Vanhao Ho,62a0b2334e1a640070c40692,,,,,,,,,,,N5-52,,,Hiển thị mã giảm giá,,,,,,,,,N5-4,Hiển thị mã giảm giá,,,,,0|i001nb:,,N5 Sprint 2,,,,,,,,Integration,Nhấn vào giỏ hàng,Pass,,,,To Do
IP23 - Kiểm chứng giỏ hàng - Nếu chưa thêm sản phẩm nào vào giỏ hàng thì hiển thị đường dẫn đến trang sản phẩm,N5-52,10270,Story,Done,N5,N5_CD21CT6,software,Trần Hoàng Huy,62980d87a0eafd0069e8d5d3,,Medium,Done,,,Vanhao Ho,62a0b2334e1a640070c40692,Vanhao Ho,62a0b2334e1a640070c40692,06/Jan/23 4:41 PM,06/Jan/23 4:43 PM,06/Jan/23 5:00 PM,06/Jan/23 4:41 PM,,0,Nếu chưa thêm sản phẩm nào vào giỏ hàng thì hiển thị đường dẫn đến trang sản phẩm,,Vanhao Ho,62a0b2334e1a640070c40692,,,,,,,,,N5-53,,,06/Jan/23 4:41 PM;62a0b2334e1a640070c40692;image-20230106-094114.png;https://tranhoanghuy.atlassian.net/secure/attachment/10286/image-20230106-094114.png,,Hiển thị đường dẫn ,,,,,,,,,N5-4,Hiển thị đường dẫn ,,,,,0|i001n3:,,N5 Sprint 2,,,,,,,,Integration,Nhấn vào giỏ hàng,Pass,,,"06/Jan/23 4:41 PM;62a0b2334e1a640070c40692;!image-20230106-094114.png|width=1536,height=864!",Done
